x,y,s,Bx,By,Bs
-3.799999999999999906e-02,0.000000000000000000e+00,-8.843760649796417184e-01,0.000000000000000000e+00,5.312334144215455161e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.833760649796418285e-01,0.000000000000000000e+00,5.525583121796103728e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.823760649796419386e-01,0.000000000000000000e+00,5.746419003831059255e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.813760649796420488e-01,0.000000000000000000e+00,5.975072877769451200e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.803760649796421589e-01,0.000000000000000000e+00,6.211781490948956714e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.793760649796422690e-01,0.000000000000000000e+00,6.456787347051189617e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.783760649796423792e-01,0.000000000000000000e+00,6.710338803154894741e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.773760649796424893e-01,0.000000000000000000e+00,6.972690167371753205e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.763760649796425994e-01,0.000000000000000000e+00,7.244101797051603236e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.753760649796427096e-01,0.000000000000000000e+00,7.524840197542710142e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.743760649796428197e-01,0.000000000000000000e+00,7.815178121492943409e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.733760649796429298e-01,0.000000000000000000e+00,8.115394668679095768e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.723760649796430400e-01,0.000000000000000000e+00,8.425775386350770047e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.713760649796431501e-01,0.000000000000000000e+00,8.746612370076097117e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.703760649796432602e-01,0.000000000000000000e+00,9.078204365077089039e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.693760649796433704e-01,0.000000000000000000e+00,9.420856868042371836e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.683760649796434805e-01,0.000000000000000000e+00,9.774882229406481641e-05,0.000000000000000000e+00
